region,country,emissions,source,type,segment,reason,baseYear,notes
Africa,Angola,2.0590999126434326,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,1.1052000522613525,IEA,Energy,Gas pipelines and LNG facilities,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,0,IEA,Energy,Offshore gas,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,0,IEA,Energy,Offshore gas,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,55.90439987182617,IEA,Energy,Offshore oil,Flared,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,26.12019920349121,IEA,Energy,Offshore oil,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,336.75201416015625,IEA,Energy,Offshore oil,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,6.363609790802002,IEA,Energy,Onshore gas,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,13.981900215148926,IEA,Energy,Onshore gas,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,1.1746599674224854,IEA,Energy,Onshore oil,Flared,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,0.6678839921951294,IEA,Energy,Onshore oil,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,8.610610008239746,IEA,Energy,Onshore oil,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,2.180420398712158,IEA,Energy,Other from oil and gas,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,0,IEA,Energy,Satellite-detected large leaks,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,511.5278015136719,IEA,Energy,Total,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Angola,78.43553924560547,IEA,Other,Total,All,2018-2019,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2021), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, Monica; Guizzardi, Diego; Muntean, Marilena; Schaaf, Edwin; Lo Vullo, Eleonora; Solazzo, Efisio; Monforti-Ferrario, Fabio; Olivier, Jos; Vignati, Elisabetta (2021): Emissions Database for Global Atmospheric Research (EDGAR) v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b; Climate Watch (2020) and Food and Agriculture Organisation of the United Nations (2020). CAIT data: GHG Emissions, FAOSTAT Emissions Database. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions. "
Africa,Angola,182.97547912597656,IEA,Waste,Total,All,2018-2019,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2021), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, Monica; Guizzardi, Diego; Muntean, Marilena; Schaaf, Edwin; Lo Vullo, Eleonora; Solazzo, Efisio; Monforti-Ferrario, Fabio; Olivier, Jos; Vignati, Elisabetta (2021): Emissions Database for Global Atmospheric Research (EDGAR) v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b; Climate Watch (2020) and Food and Agriculture Organisation of the United Nations (2020). CAIT data: GHG Emissions, FAOSTAT Emissions Database. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions. "
Africa,Benin,109.47785949707031,IEA,Agriculture,Total,All,2018-2019,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2021), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, Monica; Guizzardi, Diego; Muntean, Marilena; Schaaf, Edwin; Lo Vullo, Eleonora; Solazzo, Efisio; Monforti-Ferrario, Fabio; Olivier, Jos; Vignati, Elisabetta (2021): Emissions Database for Global Atmospheric Research (EDGAR) v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b; Climate Watch (2020) and Food and Agriculture Organisation of the United Nations (2020). CAIT data: GHG Emissions, FAOSTAT Emissions Database. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions. "
Africa,BENIN,23.91200065612793,IEA,Energy,Bioenergy,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0.07595240324735641,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0.04076680168509483,IEA,Energy,Gas pipelines and LNG facilities,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Offshore gas,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Offshore gas,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Offshore oil,Flared,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Offshore oil,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Offshore oil,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Onshore gas,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Onshore gas,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Onshore oil,Flared,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Onshore oil,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Onshore oil,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0.02800000086426735,IEA,Energy,Other from coal,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,1.7655508518218994,IEA,Energy,Other from oil and gas,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BENIN,0,IEA,Energy,Satellite-detected large leaks,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Benin,25.822269439697266,IEA,Energy,Total,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Benin,8.33173656463623,IEA,Other,Total,All,2018-2019,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2021), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, Monica; Guizzardi, Diego; Muntean, Marilena; Schaaf, Edwin; Lo Vullo, Eleonora; Solazzo, Efisio; Monforti-Ferrario, Fabio; Olivier, Jos; Vignati, Elisabetta (2021): Emissions Database for Global Atmospheric Research (EDGAR) v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b; Climate Watch (2020) and Food and Agriculture Organisation of the United Nations (2020). CAIT data: GHG Emissions, FAOSTAT Emissions Database. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions. "
Africa,Benin,52.778709411621094,IEA,Waste,Total,All,2018-2019,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2021), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, Monica; Guizzardi, Diego; Muntean, Marilena; Schaaf, Edwin; Lo Vullo, Eleonora; Solazzo, Efisio; Monforti-Ferrario, Fabio; Olivier, Jos; Vignati, Elisabetta (2021): Emissions Database for Global Atmospheric Research (EDGAR) v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b; Climate Watch (2020) and Food and Agriculture Organisation of the United Nations (2020). CAIT data: GHG Emissions, FAOSTAT Emissions Database. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions. "
Africa,Botswana,89.65092468261719,IEA,Agriculture,Total,All,2018-2019,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2021), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, Monica; Guizzardi, Diego; Muntean, Marilena; Schaaf, Edwin; Lo Vullo, Eleonora; Solazzo, Efisio; Monforti-Ferrario, Fabio; Olivier, Jos; Vignati, Elisabetta (2021): Emissions Database for Global Atmospheric Research (EDGAR) v6.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/97a67d67-c62e-4826-b873-9d972c4f670b; Climate Watch (2020) and Food and Agriculture Organisation of the United Nations (2020). CAIT data: GHG Emissions, FAOSTAT Emissions Database. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions. "
Africa,BOTSWANA,5.435999870300293,IEA,Energy,Bioenergy,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Gas pipelines and LNG facilities,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Offshore gas,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Offshore gas,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Offshore oil,Flared,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Offshore oil,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Offshore oil,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Onshore gas,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Onshore gas,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Onshore oil,Flared,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Onshore oil,Fugitive,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Onshore oil,Vented,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0.10000000149011612,IEA,Energy,Other from coal,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0.7086699604988098,IEA,Energy,Other from oil and gas,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,BOTSWANA,0,IEA,Energy,Satellite-detected large leaks,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Botswana,6.2446699142456055,IEA,Energy,Total,All,2021,"Estimates from end-uses are for 2019 (IEA, Greenhouse gas emissions from energy, 2021, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
